,Date,Open,High,Low,Close,Volume,DJI_Close,NYSE_Close,NASDAQ_Close,RUSS_Close,FTSE_Close,N225_Close,GOLD_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close,Signal
0,11/11/09,1106.890755,1116.753548,1107.128842,1109.946302,3878501041,10355.11429,7230.302797,2192.802315,612.6576841,5296.638602,10004.35945,1100.415657,6.81133348,0.669405012,0.602074633,90.46578191,2
1,11/12/09,1110.394686,1114.663035,1102.093083,1103.784704,3858275530,10307.48598,7173.741974,2186.750996,600.5520356,5303.16563,9999.976172,1088.195818,6.814161642,0.672025033,0.602533244,90.5330631,1
2,11/13/09,1103.20075,1112.712628,1097.988112,1105.426055,3979384454,10334.52281,7205.054258,2202.85625,605.0234831,5328.179056,9927.06774,1100.491294,6.810900574,0.668974627,0.599056663,89.90455199,1
3,11/16/09,1106.675952,1124.852818,1101.803601,1117.327365,4731103595,10426.45676,7305.766099,2226.232271,620.7484942,5436.028086,9930.816037,1116.412658,6.806737091,0.666466102,0.591690594,88.9576599,2
4,11/17/09,1117.283322,1114.898373,1110.294871,1114.515948,3407553237,10421.30621,7306.220579,2210.74502,617.1551653,5446.52608,9915.040507,1123.217166,6.80472895,0.668865482,0.591422047,89.20491844,1
5,11/18/09,1115.564854,1119.221016,1110.137297,1117.856325,3967413516,10423.42674,7319.827383,2218.704498,617.2849174,5434.196671,9637.114885,1125.905188,6.801676129,0.663775803,0.593231214,89.02469772,2
6,11/19/09,1116.74191,1121.023398,1100.403827,1108.429552,3838323104,10370.63121,7223.766834,2200.639393,602.7838992,5338.603814,9482.274063,1117.857924,6.799889783,0.665168666,0.597908928,88.36435477,2
7,11/20/09,1110.074659,1109.206368,1105.117355,1107.721876,3624214335,10385.8476,7192.79648,2214.646618,603.7909864,5356.260383,9311.421468,1126.994042,6.799083245,0.668542127,0.603199889,88.10163468,1
8,11/23/09,1111.592995,1129.133106,1109.54415,1122.401924,3708140727,10530.748,7296.151296,2241.375259,614.6159046,5453.825617,,1142.474921,6.806873608,0.665269884,0.597603992,88.0685599,1
9,11/24/09,1122.193433,1126.683141,1119.944823,1128.30501,3691688252,10582.98873,7319.412301,2248.318818,616.7134964,5436.408179,9236.672863,1148.670357,6.797169698,0.663750845,0.598986705,87.81477977,2
10,11/25/09,1128.931489,1128.362415,1122.50372,1122.188454,3354318257,10527.22516,7331.564838,2212.233524,605.6672945,5478.218298,9268.280796,1172.688782,6.79246333,0.656229371,0.594547838,86.21431139,2
11,11/27/09,1118.60569,1120.224305,1094.351361,1105.657511,2680628956,10396.2576,7186.603961,2180.302036,590.2984588,5325.605158,8814.974175,1162.408426,6.794881386,0.66024358,0.601365295,85.27149302,1
12,11/30/09,1105.250896,1115.262592,1100.727638,1114.702376,4362520873,10483.14752,7227.26038,2206.533807,593.7160683,5277.305379,9088.793298,1163.476536,6.789726599,0.65891061,0.602695851,85.12233853,1
13,12/1/09,1121.749413,1132.755354,1120.121662,1127.483261,4142536490,10611.68317,7338.861597,2231.299765,597.9716283,5386.801918,9209.053278,1181.000091,6.789806557,0.655210226,0.597428329,85.1860522,2
14,12/2/09,1125.691273,1132.969254,1114.682326,1122.841646,4321823077,10560.53177,7309.481898,2221.585423,597.5453468,5405.37414,9245.908908,1202.559923,6.783834164,0.654754243,0.596651834,86.08620712,2
15,12/3/09,1125.133362,1129.480427,1106.300834,1107.778573,5704048204,10423.9326,7208.732903,2193.129517,585.6716062,5360.973831,9620.604056,1193.213278,6.786727241,0.655964991,0.5999535,86.55771032,1
16,12/4/09,1107.127824,1129.166567,1100.764995,1115.315528,5872136884,10449.64435,7252.646409,2215.130407,605.1484898,5379.518011,9719.207959,1150.613264,6.789729313,0.6667392,0.603231663,88.85639323,2
17,12/7/09,1115.507474,1118.187205,1104.852844,1106.398852,4153134737,10398.61622,7200.588384,2200.277362,602.574882,5393.528571,9801.040775,1149.37552,6.791076065,0.669642469,0.605963629,87.67380626,2
18,12/8/09,1105.051525,1100.284761,1088.887957,1089.975346,3948433980,10219.82461,7069.900407,2179.283231,591.8399152,5306.552006,9719.102827,1118.339491,6.798112689,0.673965995,0.61297256,86.39025776,1
19,12/9/09,1088.864199,1096.417448,1084.832795,1097.131349,3751311364,10261.29856,7100.50648,2205.288313,596.6663074,5289.481261,9620.308637,1117.264155,6.80353942,0.676578089,0.613281385,86.24719494,2
20,12/10/09,1099.593442,1102.746523,1097.404486,1093.750171,3767065649,10237.92783,7091.705559,2195.094967,590.4190343,5355.678769,9466.210545,1124.74483,6.800421407,0.674336957,0.612548052,86.06444024,1
21,12/11/09,1089.625097,1098.590751,1089.732295,1099.134439,3566756313,10307.00451,7128.670508,2197.499535,597.1084189,5383.493871,9777.567597,1109.467799,6.794802646,0.680097234,0.614425936,86.97289601,1
22,12/14/09,1102.056377,1110.705014,1109.287558,1116.731716,4315460488,10438.45223,7230.294121,2242.195542,610.9049572,5467.137919,9734.475917,1123.668711,6.793832625,0.679413089,0.61280365,86.70908896,1
23,12/15/09,1121.82612,1119.177988,1120.954796,1118.251371,4668054821,10442.1322,7232.964882,2250.21977,616.1993486,5464.432936,9701.016447,1122.774529,6.786196279,0.687764521,0.613895017,87.94084836,1
24,12/16/09,1119.639586,1124.482402,1122.765929,1127.992987,4647501187,10498.35609,7310.400128,2278.861563,622.526812,5517.611397,9750.81662,1141.045602,6.782057967,0.684539371,0.609297475,87.77988319,2
