,Date,Signal,Open,High,Low,Close,Volume,NYSE_Close,RUSS_Close,NASDAQ_Close,DJI_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
1,12-11-09,1,0.002068951,-0.003080633,-0.008179197,-0.010312341,4160250000,-0.012984757,-0.021125565,-0.00828565,-0.009155341,0.001840032,-0.012337497,-0.006829608,2.93E-05,0.008504341,-0.00066324,0.004106782
2,13-11-09,1,-0.009808396,-0.003800419,0.000396271,0.005722896,3792610000,0.008015306,0.010217816,0.008737807,0.007133137,0.003764345,0.013545038,-0.003492249,-4.40E-05,-0.003571964,-0.005321815,-0.006891213
3,16-11-09,1,0.005995288,0.014379758,0.008075439,0.014363915,4565850000,0.016328298,0.027904094,0.013729878,0.013202026,0.016162763,0.018291438,0.002133785,2.93E-05,-0.004932377,-0.009718575,-0.007276016
4,17-11-09,2,0.013697539,-0.002850452,0.007339583,0.000919076,3824070000,-0.000420146,-0.000879515,0.002694458,0.002922612,-0.006860195,0.001824018,-0.006275279,0.000190696,0.007166349,0.000841538,0.002468583
5,18-11-09,2,0.000198318,0.000522142,0.000462608,-0.000468443,4293340000,-0.001016543,-0.003642446,-0.004839761,-0.001065006,-0.000711078,0.003690461,-0.005475434,-0.000132016,-0.005220386,0.005034412,0.001881005
6,19-11-09,2,-0.00270773,-0.004202862,-0.01305299,-0.013516784,4178030000,-0.015207674,-0.024406059,-0.016699392,-0.009043959,-0.014024999,-0.000873286,-0.013245613,0.000132016,0.00253902,0.005009194,-0.005586168
7,20-11-09,1,-0.010703841,-0.010703841,-0.001461928,-0.003220084,3751230000,-0.004671145,-0.001708876,-0.005010631,-0.001383011,-0.003099127,0.005228314,-0.005438097,-2.93E-05,0.003573559,0.008128103,-0.000787712
8,23-11-09,2,0.000182688,0.016058051,0.007379701,0.013523927,3827920000,0.014275546,0.017177338,0.013868641,0.012787434,0.019629363,0.013295542,-0.005438097,0.000601204,-0.006561312,-0.005300658,0.000787712
9,24-11-09,1,0.009969683,-0.004342467,0.002526809,-0.00053348,3700820000,-0.002238694,-0.003756142,-0.003143709,-0.001650973,-0.00589917,0.00292026,-0.010169798,-0.000425204,-0.000299267,0.001493652,-0.003459295
10,25-11-09,2,0.000596659,0.003263116,0.006465755,0.004494025,3036350000,0.0085903,-0.000658356,0.003162091,0.00293711,0.007634196,0.018847945,0.004251934,-4.40E-05,-0.01083369,-0.007323601,-0.014015336
11,27-11-09,1,-0.000922259,-0.00515193,-0.019201043,-0.017383687,2362910000,-0.022659006,-0.025621378,-0.017434715,-0.014872482,-0.022450403,-0.011843349,-0.038888114,-4.40E-05,0.00918612,0.011956303,-0.010124339
12,30-11-09,1,-0.013111718,-0.007472648,0.002313376,0.003785805,3895520000,0.003144939,0.004356326,0.002876464,0.003381306,-0.010540131,0.001696886,0.028658715,-0.000190676,-0.003303306,0.002966872,-0.002663117
13,01-12-09,1,0.007141713,0.013614027,0.011569182,0.01200292,4249310000,0.01673925,0.016203207,0.014447954,0.012177076,0.023137499,0.014208156,0.02396277,0.00017601,-0.003314254,-0.010090235,0.00462696
14,02-12-09,2,0.00918518,0.002962486,0.005807165,0.000342636,3941340000,0.001432679,0.011625978,0.004228549,-0.001806516,0.002857252,0.016034435,0.003830851,-0.000234687,0.001357159,-0.002163602,0.010447256
15,03-12-09,1,0.001405646,0.001522711,-0.005943675,-0.008437646,4810030000,-0.009092192,-0.012339063,-0.005456432,-0.008312715,-0.002706667,-0.006932723,0.037655681,-1.47E-05,0.000301341,0.006145688,0.007951401
16,04-12-09,2,-0.009190393,0.001654438,-0.00202254,0.00549437,5781140000,0.003578864,0.023516278,0.009712749,0.002192238,0.001767682,-0.038858693,0.004491949,-1.47E-05,0.013913008,0.004625814,0.025295147
17,07-12-09,2,0.0046148,-0.007543144,0.003922912,-0.002471451,4103360000,-0.003763315,0.001276578,-0.002162429,0.000116464,-0.002200676,-0.002871273,0.014364649,0.000322689,0.001039424,0.000988468,-0.013681321
18,08-12-09,1,-0.002245808,-0.006938449,-0.011162788,-0.010304438,4748030000,-0.013998268,-0.0097565,-0.007619346,-0.010073561,-0.016632558,-0.025980031,-0.002671846,-0.000131997,0.00974753,0.01324956,-0.0102438
19,09-12-09,1,-0.010911138,-0.005454361,-0.002501726,0.003665636,4115410000,0.001608623,0.000551964,0.004930325,0.004953698,-0.003682751,0.000177226,-0.013477367,7.33E-05,-0.002796381,-0.001951855,-0.003286681
20,10-12-09,1,0.006959695,0.008360274,0.011718634,0.005822698,3996490000,0.005204597,-0.004441063,0.003259737,0.006631697,0.007752496,0.002150795,-0.01428485,-0.000264026,0.000589362,-0.001951855,0.001588022
21,11-12-09,1,0.004785154,0.002031833,0.002409059,0.003676275,3791090000,0.002898182,0.008346275,-0.000251074,0.006291055,0.003274322,-0.013933568,0.024542197,0.000176025,0.007484076,0.001789346,0.009700053
